File_accession	File_format	File_type	File_format_type	Output_type	File_assembly	Experiment_accession	Assay	Donor(s)	Biosample_term_id	Biosample_term_name	Biosample_type	Biosample_organism	Biosample_treatments	Biosample_treatments_amount	Biosample_treatments_duration	Biosample_genetic_modifications_methods	Biosample_genetic_modifications_categories	Biosample_genetic_modifications_targets	Biosample_genetic_modifications_gene_targets	Biosample_genetic_modifications_site_coordinates	Biosample_genetic_modifications_zygosity	Experiment_target	Library_made_from	Library_depleted_in	Library_extraction_method	Library_lysis_method	Library_crosslinking_method	Library_strand_specific	Experiment_date_released	Project	RBNS_protein_concentration	Library_fragmentation_method	Library_size_range	Biological_replicate(s)	Technical_replicate(s)	Read_length	Mapped_read_length	Run_type	Paired_end	Paired_with	Index_of	Derived_from	Size	Lab	md5sum	dbxrefs	File_download_URL	Genome_annotation	Platform	Controlled_by	File_Status	s3_uri	Azure_URL	File_analysis_title	File_analysis_status	Audit_WARNING	Audit_NOT_COMPLIANT	Audit_ERROR
ENCFF977LBD	bigBed_narrowPeak	bigBed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2							/files/ENCFF736SWI/	2978365	ENCODE_Processing_Pipeline	be29636550527e36c4755ea036531e75		https://www.encodeproject.org/files/ENCFF977LBD/@@download/ENCFF977LBD.bigBed				released	s3://encode-public/2020/09/24/ccedd6a3-f35d-4bdc-b1b6-bc22b11d67d7/ENCFF977LBD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/ccedd6a3-f35d-4bdc-b1b6-bc22b11d67d7/ENCFF977LBD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
ENCFF430NDH	bigWig	bigWig		signal_p-value	GRCh38	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2							/files/ENCFF781VZS/,_/files/ENCFF829IOW/	1387085180	ENCODE_Processing_Pipeline	658ff6bf4997aac54220b24a7665e765		https://www.encodeproject.org/files/ENCFF430NDH/@@download/ENCFF430NDH.bigWig				released	s3://encode-public/2020/09/24/cae62ede-37cd-4e97-bed5-1c81b45d966c/ENCFF430NDH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/cae62ede-37cd-4e97-bed5-1c81b45d966c/ENCFF430NDH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
ENCFF493RLF	bigWig	bigWig		fold_change_over_control	GRCh38	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2							/files/ENCFF781VZS/,_/files/ENCFF829IOW/	1522764758	ENCODE_Processing_Pipeline	bffd12d9d4e0c7b659efbed8fe870fff		https://www.encodeproject.org/files/ENCFF493RLF/@@download/ENCFF493RLF.bigWig				released	s3://encode-public/2020/09/24/6b6a5cdc-8800-4177-8972-60d2ad944130/ENCFF493RLF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/6b6a5cdc-8800-4177-8972-60d2ad944130/ENCFF493RLF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
ENCFF736SWI	bed_narrowPeak	bed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2							/files/ENCFF356LFX/,_/files/ENCFF781VZS/,_/files/ENCFF829IOW/	1453886	ENCODE_Processing_Pipeline	d4b233381574b2e8ee266c9d9211f2ea		https://www.encodeproject.org/files/ENCFF736SWI/@@download/ENCFF736SWI.bed.gz				released	s3://encode-public/2020/09/24/704105bd-f0bc-43eb-8c13-8fd24672ac7d/ENCFF736SWI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/24/704105bd-f0bc-43eb-8c13-8fd24672ac7d/ENCFF736SWI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.5.1_GRCh38	released			
ENCFF053CBZ	fastq	fastq		reads		ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_2	76		single-ended					625520092	Bradley_Bernstein,_Broad	8f1c71f253d96e0129a21a6234137740	SRA:SRR10837586	https://www.encodeproject.org/files/ENCFF053CBZ/@@download/ENCFF053CBZ.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/8d765845-9284-4be1-a285-86a405bbffd4/ENCFF053CBZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/8d765845-9284-4be1-a285-86a405bbffd4/ENCFF053CBZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing_controlled_by		
ENCFF394YBR	fastq	fastq		reads		ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_2	76		single-ended					261248980	Bradley_Bernstein,_Broad	bbd62d0b2477bd985f057889ea1c54e7	SRA:SRR10837587	https://www.encodeproject.org/files/ENCFF394YBR/@@download/ENCFF394YBR.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/da8740fd-7520-4d34-8120-397607be571d/ENCFF394YBR.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/da8740fd-7520-4d34-8120-397607be571d/ENCFF394YBR.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing_controlled_by		
ENCFF765XNJ	fastq	fastq		reads		ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_2	76		single-ended					640953373	Bradley_Bernstein,_Broad	2b5bf4455442568ec00ec03174d7ca74	SRA:SRR10837588	https://www.encodeproject.org/files/ENCFF765XNJ/@@download/ENCFF765XNJ.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/9bb554d5-0182-4b42-9f81-87035f02b75a/ENCFF765XNJ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/9bb554d5-0182-4b42-9f81-87035f02b75a/ENCFF765XNJ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing_controlled_by		
ENCFF303NHQ	fastq	fastq		reads		ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_2	76		single-ended					264288432	Bradley_Bernstein,_Broad	455ad64b4da9aea8824b909a4411a5bb	SRA:SRR10837589	https://www.encodeproject.org/files/ENCFF303NHQ/@@download/ENCFF303NHQ.fastq.gz		Illumina_HiSeq_2500		released	s3://encode-public/2019/01/28/fcb2885f-ce79-47e0-9cf7-67931471d879/ENCFF303NHQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/fcb2885f-ce79-47e0-9cf7-67931471d879/ENCFF303NHQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing_controlled_by		
ENCFF710FQT	bam	bam		alignments	hg19	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2		76					/files/ENCFF303NHQ/,_/files/ENCFF564PES/,_/files/ENCFF765XNJ/,_/files/ENCFF807MUK/,_/files/ENCFF851QYW/,_/files/ENCFF394YBR/,_/files/ENCFF053CBZ/	3091101451	ENCODE_Processing_Pipeline	308836dd678ebe3702d4cd8316c8dbc7		https://www.encodeproject.org/files/ENCFF710FQT/@@download/ENCFF710FQT.bam				released	s3://encode-public/2019/02/09/d6780c3f-6a8a-4177-964b-40a4a5677b0b/ENCFF710FQT.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/09/d6780c3f-6a8a-4177-964b-40a4a5677b0b/ENCFF710FQT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_hg19	archived			
ENCFF636ACK	bam	bam		alignments	GRCh38	ENCSR204OJS	Histone_ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication_(generic)	200-600	1	1_1,_1_2		76					/files/ENCFF303NHQ/,_/files/ENCFF564PES/,_/files/ENCFF765XNJ/,_/files/ENCFF643CGH/,_/files/ENCFF851QYW/,_/files/ENCFF394YBR/,_/files/ENCFF053CBZ/	3093664437	ENCODE_Processing_Pipeline	ada30ad9b45617656acaf486ef5cdb2b		https://www.encodeproject.org/files/ENCFF636ACK/@@download/ENCFF636ACK.bam				released	s3://encode-public/2019/02/09/ab66abbc-3309-4b32-a3a7-55d75ba8ea42/ENCFF636ACK.bam	https://datasetencode.blob.core.windows.net/dataset/2019/02/09/ab66abbc-3309-4b32-a3a7-55d75ba8ea42/ENCFF636ACK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3_GRCh38	archived			
